,won,goals,shots,hits,pim,C,D,LW,RW,p_away,p_home
0,False,2,35,44,8,1.0,0.0,0.0,-1.0,1,0
1,True,3,48,51,6,-1.0,0.0,0.0,1.0,0,1
2,False,2,37,33,11,-3.0,-6.0,-2.0,-3.0,1,0
3,True,5,32,36,19,3.0,6.0,4.0,1.0,0,1
4,True,2,34,28,6,0.0,2.0,3.0,0.0,1,0
5,False,1,24,37,2,-1.0,-2.0,2.0,-4.0,0,1
6,False,3,40,24,8,-4.0,-4.0,-1.0,-1.0,1,0
7,True,4,32,40,8,2.0,3.0,5.0,0.0,0,1
8,False,1,29,25,13,-4.0,-4.0,-2.0,-1.0,1,0
9,True,3,32,35,11,2.0,4.0,3.0,1.0,0,1
10,True,3,30,19,17,3.0,6.0,3.0,3.0,1,0
11,False,0,29,34,28,-3.0,-6.0,-3.0,-3.0,0,1
12,True,6,29,19,6,5.0,10.0,5.0,5.0,1,0
13,False,1,27,37,4,-4.0,-11.0,-6.0,-4.0,0,1
14,False,1,54,46,16,-1.0,-2.0,-3.0,1.0,1,0
15,True,2,40,34,18,1.0,2.0,1.0,1.0,0,1
16,False,0,26,33,8,-1.0,-2.0,0.0,-2.0,1,0
17,True,1,24,25,8,1.0,2.0,1.0,1.0,0,1
18,False,1,21,43,10,-2.0,-3.0,-1.0,-5.0,1,0
19,True,4,42,24,10,2.0,4.0,2.0,2.0,0,1
20,True,4,30,26,6,3.0,6.0,2.0,4.0,1,0
21,False,1,20,36,10,-3.0,-6.0,-2.0,-4.0,0,1
22,False,1,40,22,22,-2.0,-4.0,-2.0,-2.0,1,0
23,True,3,30,28,10,1.0,4.0,2.0,3.0,0,1
24,False,0,28,22,10,-1.0,-2.0,-3.0,0.0,1,0
25,True,2,27,30,10,1.0,2.0,1.0,1.0,0,1
26,False,1,26,25,10,-2.0,-2.0,-1.0,-1.0,1,0
27,True,4,45,22,12,0.0,2.0,3.0,1.0,0,1
28,True,4,28,16,10,-2.0,-2.0,0.0,1.0,1,0
29,False,3,38,29,12,1.0,1.0,-1.0,4.0,0,1
30,False,1,27,38,10,0.0,-2.0,-1.0,-2.0,1,0
31,True,2,35,36,6,2.0,2.0,0.0,1.0,0,1
32,True,4,31,31,23,4.0,6.0,2.0,3.0,1,0
33,False,2,50,24,6,-3.0,-6.0,0.0,-6.0,0,1
34,False,1,30,26,8,-3.0,-4.0,0.0,-2.0,1,0
35,True,3,34,37,12,3.0,4.0,1.0,2.0,0,1
36,False,1,34,44,129,-3.0,-6.0,-3.0,-3.0,1,0
37,True,6,30,47,107,6.0,6.0,0.0,3.0,0,1
38,False,2,28,46,6,0.0,-2.0,-2.0,-1.0,1,0
39,True,3,34,61,2,-1.0,2.0,2.0,3.0,0,1
40,True,6,29,16,22,3.0,6.0,2.0,3.0,1,0
41,False,1,34,22,32,-5.0,-6.0,-1.0,-3.0,0,1
42,False,1,27,36,6,0.0,0.0,-1.0,1.0,1,0
43,True,2,37,40,8,0.0,0.0,0.0,0.0,0,1
44,False,2,28,43,10,-6.0,-6.0,-3.0,-1.0,1,0
45,True,5,48,35,6,2.0,6.0,3.0,3.0,0,1
46,False,2,27,13,8,-1.0,-2.0,-3.0,1.0,1,0
47,True,3,37,34,6,3.0,2.0,0.0,0.0,0,1
48,True,3,24,10,12,2.0,6.0,4.0,3.0,1,0
49,False,0,25,20,4,-5.0,-6.0,-3.0,-1.0,0,1
50,False,1,22,32,18,-5.0,-6.0,-2.0,-2.0,1,0
51,True,5,33,23,6,2.0,6.0,4.0,3.0,0,1
52,False,1,29,41,12,0.0,0.0,0.0,1.0,1,0
53,True,2,42,38,8,1.0,0.0,0.0,-2.0,0,1
54,False,1,29,38,8,-4.0,-4.0,-2.0,0.0,1,0
55,True,2,25,38,8,2.0,4.0,2.0,2.0,0,1
